seed patch,detected target,spec_target,spec_predicate,bug_row_count,expected_buggy_functions,candidate_count,audited_candidate_count,audited_function,is_expected_for_any_bug_row,has_violation,confidence,analysis
10d6bdf53290,driver_find_device_by_of_node,A call to driver_find_device_by_of_node() that acquires a reference to a device object,"The device reference must be released with put_device() when the device is no longer needed, before all possible exit paths from the function",2,altr_sysmgr_regmap_lookup_by_phandle;tegra_ahb_enable_smmu,3,3,tegra_ahb_enable_smmu,True,True,HIGH,"1. Decision: YES

2. Detailed reasoning:
This code definitively violates the security rule. Here's the analysis:

- `driver_find_device_by_of_node()` returns a device reference that must be released with `put_device()`
- The function obtains a device reference via `dev = driver_find_device_by_of_node(&tegra_ahb_driver.driver, dn)`
- The device reference is used to get driver data and perform register operations
- The function has two exit paths:
  1. Early return with `-EPROBE_DEFER` when `dev` is NULL (this path is fine since no reference was obtained)
  2. Normal return with `return 0` after successful operations
- On the normal exit path, `put_device(dev)` is never called before returning
- The device reference is not assigned to any persistent storage or returned to the caller
- This is not a parameter passed from outside - it's a locally obtained reference
- There's no error handling that would clean up the reference

The function clearly leaks the device reference obtained from `driver_find_device_by_of_node()` on the successful execution path. The fix would be to add `put_device(dev)` before the `return 0` statement.

3. Confidence: HIGH

This is a clear-cut violation with no ambiguity. The reference is obtained locally, used temporarily, and then abandoned without proper cleanup."
10d6bdf53290,driver_find_device_by_of_node,A call to driver_find_device_by_of_node() that acquires a reference to a device object,"The device reference must be released with put_device() when the device is no longer needed, before all possible exit paths from the function",2,altr_sysmgr_regmap_lookup_by_phandle;tegra_ahb_enable_smmu,3,3,altr_sysmgr_regmap_lookup_by_phandle,True,True,HIGH,"1. Decision: YES

2. Detailed reasoning:

This code has a DEFINITE security violation. Let me trace through the execution:

- `driver_find_device_by_of_node()` is called and returns a device pointer with an incremented reference count
- The device pointer is stored in the `dev` variable
- The code checks if `dev` is NULL and returns an error if so
- If `dev` is not NULL, the code extracts `sysmgr` from the device using `dev_get_drvdata(dev)`
- The function then returns `sysmgr->regmap` 
- **CRITICAL ISSUE**: The device reference obtained from `driver_find_device_by_of_node()` is never released with `put_device()`

The function successfully obtains a device reference, uses it to get driver data, but then abandons the reference without calling `put_device()`. This creates a reference leak - the device's reference count will never be decremented, preventing proper cleanup.

This is NOT a case where:
- The pointer is passed as a parameter (it's obtained locally)
- The pointer is assigned to maintain reference (it's discarded)
- There's proper error handling (no `put_device()` on any path)
- The pointer is returned for caller management (only the regmap is returned, not the device)

The correct fix would be to call `put_device(dev)` before returning `sysmgr->regmap`.

3. Confidence: HIGH

This is a clear-cut violation of the security rule with a definite memory leak pattern."
10d6bdf53290,driver_find_device_by_of_node,A call to driver_find_device_by_of_node() that acquires a reference to a device object,"The device reference must be released with put_device() when the device is no longer needed, before all possible exit paths from the function",2,altr_sysmgr_regmap_lookup_by_phandle;tegra_ahb_enable_smmu,3,3,exynos_get_pmu_regmap_by_phandle,False,True,HIGH,"1. Decision: YES

2. Detailed reasoning:

This code has a DEFINITE security violation. Here's the analysis:

- `driver_find_device_by_of_node()` returns a device pointer with an incremented reference count that must be released with `put_device()`
- The function obtains this device reference: `dev = driver_find_device_by_of_node(&exynos_pmu_driver.driver, (void *)pmu_np);`
- After checking `if (!dev)`, the code proceeds to the final return statement: `return syscon_node_to_regmap(pmu_np);`
- At this point, the `dev` pointer (which holds the device reference) goes out of scope without calling `put_device(dev)`
- This creates a definite memory leak as the device reference is never released

The violation occurs on the success path where `dev` is non-NULL. The function successfully finds the device but then abandons the reference without proper cleanup. The `dev` pointer is only used for the NULL check and then discarded, but the underlying device reference remains held.

This is not a case where:
- The pointer is returned to caller (it's not returned)
- The pointer is assigned to maintain reference elsewhere (it's not)
- There's proper error handling (the success path leaks)
- The pointer comes from external parameter (it comes from driver_find_device_by_of_node)

The fix would be to add `put_device(dev);` before the final return statement.

3. Confidence: HIGH"
c158cf914713,of_slim_get_device,A call to of_slim_get_device(),The returned slim_device reference must be released with the corresponding put function when no longer needed,1,qcom_slim_ngd_notify_slaves,3,3,qcom_slim_ngd_notify_slaves,True,True,HIGH,"1. Decision: YES

2. Detailed reasoning:
This code definitively violates the security rule. Here's my analysis:

- The function calls `of_slim_get_device(&ctrl->ctrl, node)` which returns a slim_device reference that must be released with a corresponding put function
- The returned `sbdev` pointer is stored in a local variable and used immediately for `slim_get_logical_addr(sbdev)`
- After the `slim_get_logical_addr()` call, the function continues to the next iteration of the loop without ever calling any put function to release the reference
- This creates a definite memory leak - each iteration that successfully gets a device reference will leak that reference
- The loop processes multiple child nodes, so this leak occurs repeatedly
- There is no assignment to external variables, no return of the pointer to a caller, and no error handling that would justify not releasing the reference
- The reference is obtained, used briefly, and then abandoned without proper cleanup

This is a clear violation where `of_slim_get_device()` increments a reference count that is never decremented, leading to memory leaks and potential resource exhaustion.

3. Confidence: HIGH

The violation is unambiguous - there's a clear get operation without any corresponding put operation, and the reference is not transferred to any external scope that would maintain it."
c158cf914713,of_slim_get_device,A call to of_slim_get_device(),The returned slim_device reference must be released with the corresponding put function when no longer needed,1,qcom_slim_ngd_notify_slaves,3,3,wcd9335_slim_status,False,True,HIGH,"1. Decision: YES

2. Detailed reasoning:

This code violates the security rule because it has multiple error paths that fail to release the slim_device reference obtained from `of_slim_get_device()`.

The violation occurs here:
- Line 18: `wcd->slim_ifc_dev = of_slim_get_device(sdev->ctrl, ifc_dev_np);` - This obtains a reference that must be released
- The reference is stored in `wcd->slim_ifc_dev` but there are several error paths that return without releasing it:

Error paths that leak the reference:
1. Lines 25-27: If `regmap_init_slimbus()` fails, the function returns via `dev_err_probe()` without releasing `wcd->slim_ifc_dev`
2. Lines 30-33: If the interface regmap initialization fails, the function returns without releasing the reference
3. Lines 35-39: If `wcd9335_bring_up()` fails, the function returns without releasing the reference
4. Lines 41-43: If `wcd9335_irq_init()` fails, the function returns without releasing the reference

While the reference is stored in the `wcd` structure (which suggests it might be released elsewhere in the driver lifecycle), the immediate error paths in this function create definite memory leaks. The security rule requires that references be released ""when no longer needed,"" and in these error cases, the reference is definitely no longer needed but is not being released.

The code properly releases the device tree node reference (`of_node_put(ifc_dev_np)`) but fails to handle the slim device reference in the same careful manner.

3. Confidence: HIGH

The violation is clear and definite - there are multiple error paths that fail to release a reference that was successfully obtained, creating memory leaks."
c158cf914713,of_slim_get_device,A call to of_slim_get_device(),The returned slim_device reference must be released with the corresponding put function when no longer needed,1,qcom_slim_ngd_notify_slaves,3,3,wcd934x_codec_parse_data,False,True,HIGH,"1. Decision: YES

2. Detailed reasoning:
This code violates the security rule because it obtains a slim_device reference through `of_slim_get_device()` but never releases it with the corresponding put function.

Here's the analysis:
- `wcd->sidev = of_slim_get_device(wcd->sdev->ctrl, ifc_dev_np);` obtains a reference to a slim_device
- The reference is stored in `wcd->sidev` and used to initialize a regmap
- The function returns successfully without calling any put function to release the reference
- There are no error handling paths that release the reference either
- The reference is not returned to the caller for management

The code properly handles the device_node reference (`ifc_dev_np`) by calling `of_node_put()`, but fails to handle the slim_device reference obtained from `of_slim_get_device()`. This creates a reference leak where the slim_device will never be properly released, violating the stated security rule.

Even though the pointer is assigned to a struct member (`wcd->sidev`), this doesn't constitute proper reference management - the reference still needs to be explicitly released when the wcd934x_codec structure is cleaned up or when an error occurs.

3. Confidence: HIGH"
42378a9ca553,kvrealloc,"A call to kvrealloc that returns NULL, indicating reallocation failure","The original allocation (the first parameter to kvrealloc) must be freed before returning or taking error recovery actions, to prevent memory leaks.",2,add_marker;module_frob_arch_sections,8,8,add_marker,True,True,HIGH,"1. Decision: YES

2. Detailed reasoning:

This code contains a definite violation of the kvrealloc security rule. Here's the analysis:

**The violation occurs in the error path:**
- `kvrealloc(markers, newsize, GFP_KERNEL)` is called with `markers` as the first parameter
- If kvrealloc fails and returns NULL, the code assigns NULL to `markers`
- The original memory pointed to by `markers` (passed as first parameter to kvrealloc) is NOT freed
- The code then goes to the error label, sets `markers_cnt = 0`, and returns -ENOMEM
- The original allocation is permanently lost, creating a memory leak

**Why this is a definite violation:**
- `markers` appears to be a global/static variable (not passed as parameter)
- When kvrealloc fails, it does NOT automatically free the original allocation
- The assignment `markers = kvrealloc(...)` overwrites the only reference to the original memory
- There is no cleanup of the original allocation in the error path
- This creates a definitive memory leak

**The correct pattern should be:**
```c
void *new_markers = kvrealloc(markers, newsize, GFP_KERNEL);
if (!new_markers) {
    kvfree(markers);  // Free original allocation
    markers = NULL;
    goto error;
}
markers = new_markers;
```

This is a textbook example of the kvrealloc security rule violation - the original allocation is lost when kvrealloc fails.

3. Confidence: HIGH"
10d6bdf53290,bus_find_device_by_name,A call to bus_find_device_by_name() that returns a device reference,"The returned device reference must be released with put_device() when the device is no longer needed, before all possible exit paths from the calling function",1,qm_get_qos_value,30,10,unbind_store,False,True,HIGH,"1. Decision: YES

2. Detailed reasoning:
This code definitively violates the security rule. Here's the analysis:

- `bus_find_device_by_name()` returns a device reference that must be released with `put_device()`
- The returned device pointer `dev` is stored in a local variable
- The code uses the device reference in the conditional check `if (dev && dev->driver)`
- However, there is NO call to `put_device(dev)` anywhere in the function
- The function has two exit paths:
  - When `dev` is NULL or `dev->driver` is NULL: returns -ENODEV
  - When `dev` and `dev->driver` are valid: calls `device_driver_detach(dev)` and returns count
- In BOTH exit paths, the device reference is leaked because `put_device()` is never called
- This is not a case where the pointer is passed as a parameter (it's obtained locally)
- This is not a case where the pointer is assigned to maintain reference elsewhere
- This is not a case where the function returns the pointer for caller management
- The `device_driver_detach()` call does not release the reference obtained from `bus_find_device_by_name()`

The correct code should call `put_device(dev)` before returning, regardless of which path is taken.

3. Confidence: HIGH

This is a clear-cut violation of the reference counting rule with no ambiguity. The device reference is obtained locally and never released on any exit path."
10d6bdf53290,bus_find_device_by_name,A call to bus_find_device_by_name() that returns a device reference,"The returned device reference must be released with put_device() when the device is no longer needed, before all possible exit paths from the calling function",1,qm_get_qos_value,30,10,bind_store,False,True,HIGH,"1. Decision: YES

2. Detailed reasoning:

This code has a DEFINITE violation of the security rule. Here's my analysis:

**The violation:**
- `bus_find_device_by_name()` is called and returns a device reference that must be released with `put_device()`
- The returned `dev` pointer is used throughout the function but is NEVER released with `put_device()`
- There are multiple exit paths in this function, and NONE of them call `put_device()` before returning

**Exit paths analysis:**
1. Early return `if (!dev || dev->driver || drv != &dsa_drv.drv)` - no `put_device()`
2. Return `if (!alt_drv)` - no `put_device()`  
3. Return `if (rc < 0)` after `device_driver_attach()` fails - no `put_device()`
4. Successful return with `return count` - no `put_device()`

**Why this is NOT a false positive:**
- The `dev` pointer is NOT passed as a parameter (it's locally obtained)
- The `dev` pointer is NOT assigned to another variable that would maintain the reference
- The `dev` pointer is NOT returned to the caller for management
- `device_driver_attach(alt_drv, dev)` does not take ownership of the device reference - it's a driver binding operation, not a reference transfer

**The security impact:**
This creates a memory leak where device references accumulate without being properly released, potentially leading to resource exhaustion and preventing proper device cleanup.

3. Confidence level: HIGH

The violation is clear and unambiguous - every code path fails to release the device reference obtained from `bus_find_device_by_name()`."
10d6bdf53290,bus_find_device_by_name,A call to bus_find_device_by_name() that returns a device reference,"The returned device reference must be released with put_device() when the device is no longer needed, before all possible exit paths from the calling function",1,qm_get_qos_value,30,10,qm_get_qos_value,True,True,HIGH,"1. Decision: YES

2. Detailed reasoning:
This code definitively violates the security rule. Here's the analysis:

- `bus_find_device_by_name()` is called and returns a device reference with an incremented reference count
- The returned device pointer is stored in the local variable `dev`
- The code uses `dev` to get the PCI device via `container_of(dev, struct pci_dev, dev)`
- The function extracts the `devfn` value and returns successfully
- **Critical issue**: There is no call to `put_device(dev)` anywhere in the function before returning

The function has multiple exit paths:
- Early returns due to `sscanf` failure, `kstrtoul` failure, or validation errors - these don't call `bus_find_device_by_name()` so they're fine
- Early return when `dev` is NULL - this is also fine since no device reference was obtained
- **Problematic path**: The successful return path where `dev` is valid but `put_device(dev)` is never called

This is not a case where:
- The pointer is passed as a parameter (it's locally obtained)
- The pointer is assigned to maintain reference elsewhere (it's only used locally)
- There's proper error handling (the success path leaks the reference)
- The pointer is returned to caller (the function returns an integer, not the device)

The device reference obtained from `bus_find_device_by_name()` is leaked on the successful execution path, violating the security rule that requires `put_device()` to be called before all exit paths.

3. Confidence: HIGH"
