seed patch,detected target,spec_target,spec_predicate,bug_row_count,expected_buggy_functions,candidate_count,audited_candidate_count,audited_function,is_expected_for_any_bug_row,has_violation,confidence,analysis
10d6bdf53290,driver_find_device_by_of_node,A call to driver_find_device_by_of_node() that acquires a reference to a device object,"The device reference must be released with put_device() when the device is no longer needed, before all possible exit paths from the function",2,altr_sysmgr_regmap_lookup_by_phandle;tegra_ahb_enable_smmu,3,3,exynos_get_pmu_regmap_by_phandle,False,True,HIGH,"1. Decision: YES

2. Detailed reasoning:

This code has a DEFINITE security violation. Here's the analysis:

- `driver_find_device_by_of_node()` returns a device pointer with an incremented reference count that must be released with `put_device()`
- The function obtains this device reference: `dev = driver_find_device_by_of_node(&exynos_pmu_driver.driver, (void *)pmu_np);`
- After checking `if (!dev)`, the code proceeds to the final return statement: `return syscon_node_to_regmap(pmu_np);`
- At this point, the `dev` pointer (which holds the device reference) goes out of scope without calling `put_device(dev)`
- This creates a definite memory leak as the device reference is never released

The violation occurs on the success path where `dev` is non-NULL. The function successfully finds the device but then abandons the reference without proper cleanup. The `dev` pointer is only used for the NULL check and then discarded, but the underlying device reference remains held.

This is not a case where:
- The pointer is returned to caller (it's not returned)
- The pointer is assigned to maintain reference elsewhere (it's not)
- There's proper error handling (the success path leaks)
- The pointer comes from external parameter (it comes from driver_find_device_by_of_node)

The fix would be to add `put_device(dev);` before the final return statement.

3. Confidence: HIGH"
c158cf914713,of_slim_get_device,A call to of_slim_get_device(),The returned slim_device reference must be released with the corresponding put function when no longer needed,1,qcom_slim_ngd_notify_slaves,3,3,wcd9335_slim_status,False,True,HIGH,"1. Decision: YES

2. Detailed reasoning:

This code violates the security rule because it has multiple error paths that fail to release the slim_device reference obtained from `of_slim_get_device()`.

The violation occurs here:
- Line 18: `wcd->slim_ifc_dev = of_slim_get_device(sdev->ctrl, ifc_dev_np);` - This obtains a reference that must be released
- The reference is stored in `wcd->slim_ifc_dev` but there are several error paths that return without releasing it:

Error paths that leak the reference:
1. Lines 25-27: If `regmap_init_slimbus()` fails, the function returns via `dev_err_probe()` without releasing `wcd->slim_ifc_dev`
2. Lines 30-33: If the interface regmap initialization fails, the function returns without releasing the reference
3. Lines 35-39: If `wcd9335_bring_up()` fails, the function returns without releasing the reference
4. Lines 41-43: If `wcd9335_irq_init()` fails, the function returns without releasing the reference

While the reference is stored in the `wcd` structure (which suggests it might be released elsewhere in the driver lifecycle), the immediate error paths in this function create definite memory leaks. The security rule requires that references be released ""when no longer needed,"" and in these error cases, the reference is definitely no longer needed but is not being released.

The code properly releases the device tree node reference (`of_node_put(ifc_dev_np)`) but fails to handle the slim device reference in the same careful manner.

3. Confidence: HIGH

The violation is clear and definite - there are multiple error paths that fail to release a reference that was successfully obtained, creating memory leaks."
c158cf914713,of_slim_get_device,A call to of_slim_get_device(),The returned slim_device reference must be released with the corresponding put function when no longer needed,1,qcom_slim_ngd_notify_slaves,3,3,wcd934x_codec_parse_data,False,True,HIGH,"1. Decision: YES

2. Detailed reasoning:
This code violates the security rule because it obtains a slim_device reference through `of_slim_get_device()` but never releases it with the corresponding put function.

Here's the analysis:
- `wcd->sidev = of_slim_get_device(wcd->sdev->ctrl, ifc_dev_np);` obtains a reference to a slim_device
- The reference is stored in `wcd->sidev` and used to initialize a regmap
- The function returns successfully without calling any put function to release the reference
- There are no error handling paths that release the reference either
- The reference is not returned to the caller for management

The code properly handles the device_node reference (`ifc_dev_np`) by calling `of_node_put()`, but fails to handle the slim_device reference obtained from `of_slim_get_device()`. This creates a reference leak where the slim_device will never be properly released, violating the stated security rule.

Even though the pointer is assigned to a struct member (`wcd->sidev`), this doesn't constitute proper reference management - the reference still needs to be explicitly released when the wcd934x_codec structure is cleaned up or when an error occurs.

3. Confidence: HIGH"
10d6bdf53290,bus_find_device_by_name,A call to bus_find_device_by_name() that returns a device reference,"The returned device reference must be released with put_device() when the device is no longer needed, before all possible exit paths from the calling function",1,qm_get_qos_value,30,10,unbind_store,False,True,HIGH,"1. Decision: YES

2. Detailed reasoning:
This code definitively violates the security rule. Here's the analysis:

- `bus_find_device_by_name()` returns a device reference that must be released with `put_device()`
- The returned device pointer `dev` is stored in a local variable
- The code uses the device reference in the conditional check `if (dev && dev->driver)`
- However, there is NO call to `put_device(dev)` anywhere in the function
- The function has two exit paths:
  - When `dev` is NULL or `dev->driver` is NULL: returns -ENODEV
  - When `dev` and `dev->driver` are valid: calls `device_driver_detach(dev)` and returns count
- In BOTH exit paths, the device reference is leaked because `put_device()` is never called
- This is not a case where the pointer is passed as a parameter (it's obtained locally)
- This is not a case where the pointer is assigned to maintain reference elsewhere
- This is not a case where the function returns the pointer for caller management
- The `device_driver_detach()` call does not release the reference obtained from `bus_find_device_by_name()`

The correct code should call `put_device(dev)` before returning, regardless of which path is taken.

3. Confidence: HIGH

This is a clear-cut violation of the reference counting rule with no ambiguity. The device reference is obtained locally and never released on any exit path."
10d6bdf53290,bus_find_device_by_name,A call to bus_find_device_by_name() that returns a device reference,"The returned device reference must be released with put_device() when the device is no longer needed, before all possible exit paths from the calling function",1,qm_get_qos_value,30,10,bind_store,False,True,HIGH,"1. Decision: YES

2. Detailed reasoning:

This code has a DEFINITE violation of the security rule. Here's my analysis:

**The violation:**
- `bus_find_device_by_name()` is called and returns a device reference that must be released with `put_device()`
- The returned `dev` pointer is used throughout the function but is NEVER released with `put_device()`
- There are multiple exit paths in this function, and NONE of them call `put_device()` before returning

**Exit paths analysis:**
1. Early return `if (!dev || dev->driver || drv != &dsa_drv.drv)` - no `put_device()`
2. Return `if (!alt_drv)` - no `put_device()`  
3. Return `if (rc < 0)` after `device_driver_attach()` fails - no `put_device()`
4. Successful return with `return count` - no `put_device()`

**Why this is NOT a false positive:**
- The `dev` pointer is NOT passed as a parameter (it's locally obtained)
- The `dev` pointer is NOT assigned to another variable that would maintain the reference
- The `dev` pointer is NOT returned to the caller for management
- `device_driver_attach(alt_drv, dev)` does not take ownership of the device reference - it's a driver binding operation, not a reference transfer

**The security impact:**
This creates a memory leak where device references accumulate without being properly released, potentially leading to resource exhaustion and preventing proper device cleanup.

3. Confidence level: HIGH

The violation is clear and unambiguous - every code path fails to release the device reference obtained from `bus_find_device_by_name()`."
42378a9ca553,krealloc,A call to krealloc that returns NULL (indicating allocation failure),"The original allocation passed to krealloc must be freed with kfree before returning, if krealloc returns NULL",1,gpi_peripheral_config,152,10,papr_init,False,True,HIGH,"1. Decision: YES

2. Detailed reasoning:

This code contains a definite violation of the security rule. Let me trace through the problematic path:

1. `esi_buf` is initially allocated with `kmalloc(esi_buf_size, GFP_KERNEL)`
2. In the retry section, when `ret == H_PARTIAL || ret == H_P4`, the code calls:
   ```c
   temp_esi_buf = krealloc(esi_buf, esi_buf_size, GFP_KERNEL);
   if (temp_esi_buf)
       esi_buf = temp_esi_buf;
   else
       return -ENOMEM;  // <-- VIOLATION HERE
   ```

3. When `krealloc` returns NULL (stored in `temp_esi_buf`), the function immediately returns `-ENOMEM` without freeing the original `esi_buf`.

According to the security rule, when `krealloc` returns NULL, the original allocation (`esi_buf`) must be freed with `kfree` before returning. However, in this case, the original `esi_buf` is leaked because:
- `krealloc` failed and returned NULL
- The original `esi_buf` pointer still points to valid allocated memory
- The function returns immediately without calling `kfree(esi_buf)`
- There's no other reference to this memory that would allow it to be freed later

This is a classic memory leak scenario where `krealloc` failure leaves the original allocation orphaned.

The correct fix would be:
```c
temp_esi_buf = krealloc(esi_buf, esi_buf_size, GFP_KERNEL);
if (temp_esi_buf)
    esi_buf = temp_esi_buf;
else {
    kfree(esi_buf);  // Free original allocation
    return -ENOMEM;
}
```

3. Confidence: HIGH

The violation is clear and unambiguous - there's a definite memory leak when `krealloc` fails."
42378a9ca553,krealloc,A call to krealloc that returns NULL (indicating allocation failure),"The original allocation passed to krealloc must be freed with kfree before returning, if krealloc returns NULL",1,gpi_peripheral_config,152,10,vfio_ccw_register_dev_region,False,True,HIGH,"1. Decision: YES

2. Detailed reasoning:
This code violates the security rule. Here's the analysis:

- `krealloc(private->region, ...)` is called to resize the existing allocation
- If `krealloc` returns NULL (allocation failure), the function immediately returns `-ENOMEM`
- The original `private->region` pointer is NOT freed when `krealloc` fails
- According to the krealloc behavior: when it returns NULL, the original memory block remains unchanged and valid, but the caller is responsible for freeing it
- The security rule specifically states: ""The original allocation passed to krealloc must be freed with kfree before returning, if krealloc returns NULL""

The violation occurs in this sequence:
```c
region = krealloc(private->region, new_size, GFP_KERNEL);
if (!region)
    return -ENOMEM;  // BUG: private->region is not freed here
```

The correct implementation should be:
```c
region = krealloc(private->region, new_size, GFP_KERNEL);
if (!region) {
    kfree(private->region);  // Free the original allocation
    private->region = NULL;   // Clear the pointer
    return -ENOMEM;
}
```

This is not a false positive because:
- The pointer is not passed as a parameter (it's a struct member)
- No other variable maintains the reference to the original allocation
- There's no proper error handling for the krealloc failure case
- The function doesn't return the pointer for caller management

3. Confidence: HIGH"
42378a9ca553,krealloc,A call to krealloc that returns NULL (indicating allocation failure),"The original allocation passed to krealloc must be freed with kfree before returning, if krealloc returns NULL",1,gpi_peripheral_config,152,10,add_timeline_fence_array,False,True,HIGH,"1. Decision: YES

2. Detailed reasoning:

This code violates the security rule. Here's the analysis:

The function calls `krealloc()` on `eb->fences`:
```c
f = krealloc(eb->fences,
             (eb->num_fences + nfences) * sizeof(*f),
             __GFP_NOWARN | GFP_KERNEL);
if (!f)
    return -ENOMEM;
```

When `krealloc()` returns NULL (allocation failure), the original `eb->fences` pointer is still valid and points to the original allocation. However, the function immediately returns `-ENOMEM` without freeing the original allocation.

According to the security rule, when `krealloc()` returns NULL, the original allocation must be freed with `kfree()` before returning. This code fails to do that.

The correct pattern should be:
```c
f = krealloc(eb->fences, new_size, flags);
if (!f) {
    kfree(eb->fences);  // Free original allocation
    eb->fences = NULL;  // Clear the pointer
    return -ENOMEM;
}
```

This is a definite memory leak because:
- The original `eb->fences` allocation remains allocated but becomes unreachable
- The function returns an error, so the caller cannot clean up the original allocation
- There's no mechanism to free the original allocation after this function fails

3. Confidence: HIGH

This is a clear violation of the krealloc security rule with a definite memory leak when allocation fails."
42378a9ca553,krealloc,A call to krealloc that returns NULL (indicating allocation failure),"The original allocation passed to krealloc must be freed with kfree before returning, if krealloc returns NULL",1,gpi_peripheral_config,152,10,add_fence_array,False,True,HIGH,"1. Decision: YES

2. Detailed reasoning:

This code violates the security rule. Here's the analysis:

**The violation occurs in the error handling paths after krealloc succeeds:**

- `krealloc()` is called on `eb->fences` and returns a new pointer `f`
- If `krealloc()` returns NULL, the function correctly returns -ENOMEM (no violation here)
- However, if `krealloc()` succeeds (returns non-NULL), the new pointer is assigned to `eb->fences`
- **Critical issue**: In the subsequent error paths (lines with `return -EFAULT`, `return -EINVAL`, `return -ENOENT`), the function returns without calling `kfree()` on the original `eb->fences` pointer

**Specific violation scenarios:**
- If `__copy_from_user()` fails → returns -EFAULT without freeing original allocation
- If `user_fence.flags & __I915_EXEC_FENCE_UNKNOWN_FLAGS` → returns -EINVAL without freeing
- If `drm_syncobj_find()` fails → returns -ENOENT without freeing
- If `drm_syncobj_fence_get()` fails → returns -EINVAL without freeing

**Why this is a definite violation:**
- The original `eb->fences` memory becomes unreachable when `krealloc()` succeeds and returns a different pointer
- The new pointer is stored in `eb->fences`, but if any subsequent operation fails, the function exits without the caller having a chance to free the memory
- This creates a memory leak where the original allocation is lost

**This is NOT a false positive because:**
- The pointer is not passed as a parameter (it's a field access)
- While `eb->fences` is updated, the error paths don't provide proper cleanup
- The function doesn't return the pointer for caller management in error cases

3. Confidence level: HIGH

The violation is clear and definite - when krealloc succeeds but subsequent operations fail, the original memory allocation is leaked."
b505063910c1,debugfs_lookup,A call to function debugfs_lookup that returns a dentry pointer,"The returned dentry must have dput() called on it to prevent memory leak, or debugfs_lookup_and_remove() should be used instead",4,drm_debugfs_remove_files;hisi_acc_vfio_debug_init;iwl_mld_add_link_debugfs;margining_port_init,14,10,intel_display_debugfs_params,False,True,HIGH,"1. Decision: YES

2. Detailed reasoning:

This code violates the security rule because it calls `debugfs_lookup()` but never calls `dput()` on the returned dentry, creating a definite memory leak.

Let me trace through the code:

- `debugfs_lookup(dirname, minor->debugfs_root)` is called and returns a dentry with an incremented reference count
- If the lookup succeeds (`dir` is not NULL), the function proceeds to use this dentry
- The dentry is then passed to `_intel_display_param_create_file()` calls via the REGISTER macro
- However, there is no corresponding `dput()` call anywhere in the function to decrement the reference count
- The function ends without releasing the reference, causing a memory leak

The code has two paths:
1. `debugfs_lookup()` succeeds → uses the returned dentry but never calls `dput()` → VIOLATION
2. `debugfs_lookup()` fails → creates a new directory with `debugfs_create_dir()` → no violation for this path since `debugfs_create_dir()` doesn't require `dput()`

This is not a false positive because:
- The pointer is not passed as a parameter from an external function
- The pointer is not assigned to another variable that would maintain the reference
- There are no error handling paths that clean up the reference
- The function doesn't return the pointer for the caller to manage
- The dentry is only used locally within this function

The fix would be to either:
1. Add `dput(dir)` at the end of the function when `dir` came from `debugfs_lookup()`
2. Use `debugfs_lookup_and_remove()` instead if appropriate for the use case

3. Confidence: HIGH"
